policy_id,monthly_cost,deductible,license_plate
VQ4NRF,291,250,2K52GM5
XRA3QV,442,250,30MO542
RPOVJS,432,100,5BVLJI1
67NOY9,107,1000,KZR9T34
SCDCTO,108,100,SUY9SSF
0ZN9N4,193,500,SL28I4A
MX9OUW,182,1000,YCRMN92
MRZOBC,234,500,Q6TB728
Q7BXC4,494,1000,6276YGZ
18PUZC,223,100,MVM8NCS
C8HMW0,77,500,D9DKX8J
IF9KRI,125,500,CZT9VS8
8FEIEN,41,1000,QXECUQI
G4WK1N,198,100,A6QXRVR
PKXR8G,490,100,QAK53OU
FS287L,429,250,3VJPPHU
FKE0QP,122,250,4133A61
59EJIB,114,1000,ZDCL57A
PYLZ35,283,250,KLZMS92
G9TCH1,314,100,HOXBHWW
5N0OTA,76,100,E1HA63G
DQ2YGE,304,500,OUWX8AO
CZK7TY,401,250,MBXX24V
ENCFS3,359,1000,N9AB1V3
LEZOXQ,211,1000,2PHLMM6
61V1A2,203,100,S2WSR0E
CPCMYV,208,500,0CTZ581
GPZ5V9,412,250,Z6WWFIB
UZDX49,389,1000,RY5PXO9
6KLI6I,281,500,YDNUH4I
M89MIK,109,250,ZKVR7BV
JIUK1O,241,100,7BKCPJW
LNBWNP,460,1000,TERJUE4
YWZ64K,489,1000,WJTUI7I
XTKIVV,470,250,WO3P2NX
CN1BN1,496,100,TD2N2MD
63E750,69,100,XO0BLLX
XXOF2K,44,500,GOSN7W8
EVWS2T,164,500,FT6A70H
4TQ3DM,80,100,G0HAN1Q
DQVXO3,70,100,0HVONM9
3FN3WB,96,250,3XPILDU
KDR9BQ,498,1000,LT9C9QX
PK2EQE,142,1000,OVPRVE0
9EW3T5,439,250,IQJ3GKI
UVJ71H,233,250,LIRE33M
Y0D15U,453,250,FTQM0K4
TJTI3W,238,100,Q69P8QA
REVAVW,46,250,WGENS0O
BFIKR5,364,1000,L6N1IDO
4HPLQP,304,250,U3TF3TB
NYWJOW,476,1000,8N0Y8KN
YRW85I,122,250,PAONKHG
75JSY0,308,250,06TY0XW
8PAL0O,293,250,FNB32AH
T57YI0,232,250,L7PZPOP
79V8TZ,463,100,1QRZGW9
7I7TBL,163,100,DXTQ5J6
PYO7X8,153,1000,DKO8S6H
2S871P,221,250,S882ABN
2BGPHL,138,250,9KNVWYG
VOVIGZ,431,250,DILEKWS
BA59S6,229,250,EZQLI69
E1OZDZ,374,1000,BBE4TQX
CXCJ0E,322,250,L6P1ZOS
UOOHQ1,275,1000,BSP6RJI
RXJLEY,348,500,P5SSSSW
7RQWK1,194,500,WULVVUX
OV5UN5,228,500,7PKWEXA
RSQ0NB,230,100,R3VUZYP
ONN16J,257,100,YO3PURY
G1PZ8D,115,1000,6IRYY60
7YTB0E,77,500,YQADSIN
399EHD,229,1000,GUAH743
T1XC2F,481,500,IYBOJKP
49I0BL,278,1000,2SGY1AF
LXFE7E,302,1000,0EOKG3H
AF1WLP,460,500,XCYA29W
0GBYHM,429,100,Z5A3FDS
D3J61M,60,500,PSX4ARJ
L73RHH,360,100,HQCVR1O
37325V,342,100,YWJ215F
ACTH0I,102,1000,2INB2H3
2F7084,334,100,H1R2COY
YTA4NY,245,100,OKOMP0U
TEJV90,423,100,M6X8GK0
VDFTFQ,399,1000,FN6ALFH
BSKAOK,265,250,LE8T30D
OFWP0S,260,100,QFHX8NE
IMOAP1,200,100,ANLLAM3
FZKCXJ,309,500,RCS99Y0
