license_plate,make,model,year,color
ZAH75N6,Acura,Integra,2020,Yellow
FGJBA4O,Toyota,Corolla,2008,Red
2K52GM5,Volkswagen,Atlas,2015,Grey
30MO542,Jeep,Renegade,2020,Silver
5BVLJI1,Kia,Soul,2007,Green
KZR9T34,Buick,Encore,2008,White
SUY9SSF,Volkswagen,Golf,2006,Grey
SL28I4A,Chevrolet,Corvette,2006,Black
YCRMN92,Audi,A4,2004,Blue
Q6TB728,Ford,Escape,2021,Grey
6276YGZ,Ram,1500,2018,Red
MVM8NCS,Volvo,XC90,2005,Grey
D9DKX8J,Acura,Integra,2014,Red
CZT9VS8,Alfa Romeo,Giulia,2020,Silver
QXECUQI,Infiniti,Q60,2005,Silver
A6QXRVR,Nissan,Altima,2012,Orange
QAK53OU,Chevrolet,Trailblazer,2022,Black
3VJPPHU,Infiniti,Q30,2013,Yellow
4133A61,Hyundai,Tucson,2008,Silver
ZDCL57A,Ram,1500,2014,Black
KLZMS92,Volkswagen,Tiguan,2016,Grey
HOXBHWW,Chrysler,300,2008,Red
E1HA63G,Mercedes,A Class,2009,Orange
OUWX8AO,Kia,Telluride,2007,Black
MBXX24V,Chevrolet,Equinox,2019,Grey
N9AB1V3,Dodge,Durango,2012,Silver
2PHLMM6,Hyundai,Tucson,2011,Yellow
S2WSR0E,Jaguar,F-Pace,2021,Yellow
0CTZ581,Acura,Integra,2013,Yellow
Z6WWFIB,Buick,Encore,2017,Yellow
RY5PXO9,Mitsubishi,Outlander,2019,Yellow
YDNUH4I,Infiniti,Q70,2008,Silver
ZKVR7BV,Audi,A5,2015,Yellow
7BKCPJW,Tesla,Model S,2015,Black
TERJUE4,Volkswagen,Golf,2013,Red
WJTUI7I,Fiat,500X,2013,White
WO3P2NX,Tesla,Moled X,2017,Black
TD2N2MD,Dodge,Durango,2016,Grey
XO0BLLX,Infiniti,Q90,2004,White
GOSN7W8,Fiat,500X,2018,Orange
FT6A70H,Volkswagen,Tiguan,2010,Red
G0HAN1Q,Chrysler,300,2019,White
0HVONM9,Ram,1500,2018,Grey
3XPILDU,Audi,A6,2008,Red
LT9C9QX,Chrysler,200,2022,Black
OVPRVE0,Infiniti,Q70,2008,Yellow
IQJ3GKI,Buick,Encore,2015,Black
LIRE33M,GMC,Sierra 1500,2005,Grey
FTQM0K4,Nissan,Altima,2006,Grey
Q69P8QA,Kia,Soul,2006,Black
WGENS0O,Alfa Romeo,Giulia,2016,Silver
L6N1IDO,Honda,Civic,2011,White
U3TF3TB,Ram,1500,2022,Brown
8N0Y8KN,Subaru,Impreza,2017,Green
PAONKHG,Audi,S5,2015,Red
06TY0XW,Tesla,Model 3,2021,Silver
FNB32AH,Chevrolet,Blazer,2014,Silver
L7PZPOP,Land Rover,Evoque,2015,Black
1QRZGW9,Chevrolet,Equinox,2009,Black
DXTQ5J6,Cadillac,Escalade,2008,Blue
DKO8S6H,Mini,Countryman,2010,Green
S882ABN,Volvo,V70,2006,Blue
9KNVWYG,Kia,Telluride,2021,White
DILEKWS,Tesla,Model S,2013,Grey
EZQLI69,Subaru,Outback,2006,White
BBE4TQX,Audi,Q7,2005,Red
L6P1ZOS,Lincoln,Navigator,2004,Blue
BSP6RJI,Volkswagen,Golf,2014,Grey
P5SSSSW,Audi,A3,2005,Silver
WULVVUX,Dodge,Challenger,2015,Black
7PKWEXA,Volvo,XC90,2010,Orange
R3VUZYP,Mini,Cooper S,2007,Blue
YO3PURY,Honda,HR-V,2017,Brown
6IRYY60,Mercedes,GLK,2009,Black
YQADSIN,Land Rover,Defender,2011,Brown
GUAH743,Cadillac,CTS,2009,Yellow
IYBOJKP,Jaguar,XK,2006,Grey
2SGY1AF,Fiat,500X,2013,Brown
0EOKG3H,Dodge,Durango,2019,Black
XCYA29W,Mini,Cooper,2015,Brown
Z5A3FDS,Ford,Edge,2005,White
PSX4ARJ,Mazda,MX-5,2009,Yellow
HQCVR1O,Lincoln,Navigator,2021,Silver
YWJ215F,Fiat,500,2010,Silver
2INB2H3,Mitsubishi,Lancer,2015,Black
H1R2COY,Tesla,Model X,2017,White
OKOMP0U,Volvo,XC40,2016,Red
M6X8GK0,Infiniti,Q60,2022,Brown
FN6ALFH,Toyota,Corolla,2018,Black
LE8T30D,Cadillac,Escalade,2013,Blue
QFHX8NE,Chrysler,Town,2010,White
ANLLAM3,Jaguar,XJ,2005,Silver
RCS99Y0,Alfa Romeo,Giulia,2021,Brown
